ProjectID,ProjectName,Client,Priority,Budget,StartDate,EndDate,Status,RequiredHeadcount
PRJ00027,Cloud Transformation 27,Amazon,High,7865278,2024-10-04,2026-02-10,Completed,60
PRJ00028,Banking Transformation 28,Infosys,High,6880393,2026-07-05,2026-11-25,Active,171
PRJ00029,Banking Transformation 29,Infosys,Low,1885185,2026-06-11,2026-12-17,Active,400
PRJ00030,Cloud Transformation 30,TCS,Low,6287029,2024-02-03,2025-10-08,Completed,163
PRJ00031,Banking Transformation 31,Accenture,Medium,4841740,2024-07-28,2026-03-08,Completed,178
PRJ00032,AI Transformation 32,Accenture,High,5435091,2026-04-10,2027-02-05,Active,79
PRJ00033,AI Transformation 33,Microsoft,Low,5794075,2025-10-17,2027-02-02,Active,197
PRJ00034,Analytics Transformation 34,Accenture,High,4813054,2025-12-11,2026-07-11,Completed,164
PRJ00035,Healthcare Transformation 35,Google,Low,7901965,2024-11-05,2025-12-09,Completed,94
PRJ00036,Analytics Transformation 36,Infosys,Medium,2097274,2025-12-15,2027-02-14,Active,168
PRJ00037,Retail Transformation 37,Deloitte,Medium,7746387,2024-07-13,2026-01-06,Completed,157
PRJ00038,Banking Transformation 38,Microsoft,High,3877432,2025-09-04,2027-09-12,Active,117
PRJ00039,Cloud Transformation 39,Oracle,High,4998690,2025-07-01,2026-12-07,Active,50
PRJ00040,ERP Transformation 40,Infosys,High,7835719,2026-01-10,2027-01-14,Active,82
PRJ00041,AI Transformation 41,Amazon,Low,5034780,2025-12-31,2027-07-21,On Hold,510
PRJ00042,Analytics Transformation 42,Oracle,High,3909248,2025-04-05,2026-11-29,Active,109
PRJ00043,AI Transformation 43,Google,Medium,518080,2026-04-27,2027-05-06,Active,247
PRJ00044,ERP Transformation 44,Deloitte,Low,6627922,2026-04-01,2027-06-02,On Hold,172
PRJ00045,Cloud Transformation 45,Oracle,Medium,2326207,2025-11-03,2027-06-19,On Hold,50
PRJ00046,AI Transformation 46,Accenture,High,920624,2025-10-22,2027-07-17,On Hold,171
PRJ00047,Cloud Transformation 47,Amazon,Low,1172023,2025-11-30,2027-07-11,Active,603
PRJ00048,AI Transformation 48,Oracle,Medium,1505681,2026-07-10,2027-08-13,Active,181
PRJ00049,Healthcare Transformation 49,IBM,High,5695748,2025-10-27,2027-02-16,On Hold,87
PRJ00050,ERP Transformation 50,HSBC,High,6118068,2023-11-05,2025-10-20,Completed,53
PRJ00051,Retail Transformation 51,Google,Low,5914853,2026-04-14,2027-02-25,Active,453
PRJ00052,AI Transformation 52,Infosys,Low,5222732,2025-06-25,2026-03-06,Completed,90
PRJ00053,Cloud Transformation 53,TCS,Medium,1611126,2026-07-08,2027-07-15,On Hold,132
PRJ00054,Cloud Transformation 54,Accenture,Medium,1823276,2025-05-20,2026-11-17,On Hold,162
PRJ00055,Healthcare Transformation 55,TCS,High,6102442,2024-07-08,2025-11-09,Completed,61
PRJ00056,Cloud Transformation 56,HSBC,High,7963451,2026-03-14,2026-12-05,Active,471
PRJ00057,ERP Transformation 57,HSBC,Low,2266889,2024-11-30,2025-11-04,Completed,110
PRJ00058,Analytics Transformation 58,HSBC,Low,4598102,2026-05-02,2027-09-02,Active,157
PRJ00059,Banking Transformation 59,Deloitte,Medium,869826,2025-10-18,2026-07-19,Completed,114
PRJ00060,Cloud Transformation 60,Infosys,Low,6419567,2025-03-18,2026-06-09,Completed,179
PRJ00061,AI Transformation 61,Google,Low,802225,2025-10-20,2026-08-10,Completed,129
PRJ00062,Cloud Transformation 62,Deloitte,High,850885,2025-10-20,2027-07-22,Active,91
PRJ00063,Cloud Transformation 63,Oracle,Low,1362295,2025-01-25,2026-07-25,Completed,90
PRJ00064,Healthcare Transformation 64,Google,High,7752838,2024-03-15,2025-11-01,Completed,138
PRJ00065,AI Transformation 65,Google,Low,3286573,2024-09-21,2026-05-16,Completed,85
PRJ00066,ERP Transformation 66,Google,Low,1406771,2026-01-16,2027-02-17,Active,288
PRJ00067,Cloud Transformation 67,Oracle,Medium,3433147,2024-10-03,2026-07-26,Completed,66
PRJ00068,AI Transformation 68,Oracle,Medium,3253660,2025-03-08,2026-04-20,Completed,57
PRJ00069,ERP Transformation 69,TCS,Medium,6200211,2025-04-01,2026-07-10,Completed,74
PRJ00070,AI Transformation 70,Microsoft,Medium,1997935,2025-11-13,2027-03-31,On Hold,278
PRJ00071,AI Transformation 71,Microsoft,Low,4145385,2025-03-29,2027-02-25,Active,156
PRJ00072,Healthcare Transformation 72,TCS,High,3731253,2024-06-19,2026-03-07,Completed,84
PRJ00073,AI Transformation 73,Deloitte,High,4861407,2026-05-09,2027-02-20,On Hold,518
PRJ00074,ERP Transformation 74,Deloitte,High,6072029,2025-11-12,2027-01-21,On Hold,116
PRJ00075,Banking Transformation 75,Microsoft,Low,3019285,2025-09-29,2027-03-22,On Hold,201
PRJ00076,ERP Transformation 76,Deloitte,Low,2980135,2025-09-07,2027-05-10,Active,205
PRJ00077,Banking Transformation 77,Deloitte,Low,6775807,2026-05-08,2027-05-16,Active,382
PRJ00078,ERP Transformation 78,Deloitte,Low,7493793,2025-10-03,2027-07-31,On Hold,190
PRJ00079,Retail Transformation 79,IBM,Low,5992068,2025-02-19,2026-03-21,Completed,100
PRJ00080,Banking Transformation 80,Oracle,Low,4469373,2024-04-08,2025-12-31,Completed,142
PRJ00081,Banking Transformation 81,Microsoft,Medium,4823924,2025-04-10,2027-01-07,Active,127
PRJ00082,AI Transformation 82,Oracle,Low,3103987,2025-10-01,2027-04-02,Active,293
PRJ00083,AI Transformation 83,Amazon,High,4485732,2025-06-09,2026-05-05,Completed,134
PRJ00084,Retail Transformation 84,Deloitte,Low,5329077,2025-07-17,2026-11-19,Active,515
PRJ00085,Retail Transformation 85,Oracle,High,6003413,2024-03-15,2026-01-30,Completed,95
PRJ00086,Analytics Transformation 86,Deloitte,High,1975444,2025-05-14,2026-12-06,Active,84
PRJ00087,Retail Transformation 87,Amazon,Low,2590426,2025-08-23,2027-07-05,Active,344
PRJ00088,Cloud Transformation 88,Infosys,Low,4955457,2026-06-13,2027-06-03,On Hold,241
PRJ00089,Analytics Transformation 89,Infosys,Low,7336770,2025-10-14,2027-03-24,On Hold,105
PRJ00090,Analytics Transformation 90,TCS,Medium,1835113,2025-11-29,2027-05-19,Active,151
PRJ00091,ERP Transformation 91,Oracle,Low,2826256,2025-12-14,2027-05-31,Active,121
PRJ00092,Banking Transformation 92,Oracle,Medium,4189918,2025-11-21,2027-06-18,Active,179
PRJ00093,ERP Transformation 93,Accenture,Medium,7991252,2025-01-25,2026-03-21,Completed,180
PRJ00094,Cloud Transformation 94,Deloitte,Low,1781823,2026-06-05,2026-12-29,Active,177
PRJ00095,Retail Transformation 95,Accenture,Low,4408456,2026-07-13,2027-05-13,Active,68
PRJ00096,Retail Transformation 96,IBM,Low,663845,2024-08-29,2026-05-01,Completed,44
PRJ00097,Retail Transformation 97,Infosys,High,3450766,2025-07-19,2027-08-03,Active,245
PRJ00098,Healthcare Transformation 98,TCS,Low,2350012,2024-05-28,2026-01-27,Completed,155
PRJ00099,Retail Transformation 99,Amazon,Medium,3319658,2026-03-28,2027-05-24,Active,160
PRJ00100,Banking Transformation 100,Google,Medium,1570619,2025-07-02,2027-05-08,Active,297
PRJ00101,Retail Transformation 101,IBM,Low,6061645,2025-11-14,2026-10-26,On Hold,211
PRJ00102,Cloud Transformation 102,Infosys,High,921818,2024-01-10,2025-09-19,Completed,166
PRJ00103,Retail Transformation 103,Accenture,Medium,6885657,2025-01-28,2026-02-28,Completed,125
PRJ00104,ERP Transformation 104,Microsoft,Medium,662598,2026-03-25,2027-05-16,On Hold,88
PRJ00105,Cloud Transformation 105,Microsoft,Low,837709,2026-07-19,2027-04-10,Active,71
PRJ00106,Cloud Transformation 106,Amazon,Low,1778275,2025-04-15,2027-02-16,Active,236
PRJ00107,Healthcare Transformation 107,Oracle,Medium,6367537,2025-02-21,2025-12-15,Completed,58
PRJ00108,Healthcare Transformation 108,IBM,Low,6526017,2025-02-21,2026-02-07,Completed,111
PRJ00109,AI Transformation 109,IBM,High,3116887,2025-01-10,2026-05-23,Completed,169
PRJ00110,Retail Transformation 110,Oracle,High,5466876,2025-05-07,2027-04-23,Active,143
PRJ00111,AI Transformation 111,HSBC,Low,5536617,2025-09-27,2027-02-14,Active,111
PRJ00112,Analytics Transformation 112,Amazon,Medium,4968991,2025-07-03,2027-07-29,Active,68
PRJ00113,Healthcare Transformation 113,Accenture,High,7626756,2025-06-01,2026-02-06,Completed,138
PRJ00114,Retail Transformation 114,Accenture,Low,7979073,2025-02-22,2025-12-07,Completed,151
PRJ00115,Retail Transformation 115,Google,Low,4876728,2025-08-17,2026-12-30,Active,385
PRJ00116,Analytics Transformation 116,TCS,Medium,4399643,2026-03-29,2027-08-24,On Hold,184
PRJ00117,ERP Transformation 117,Oracle,High,2839819,2024-07-18,2025-10-15,Completed,93
PRJ00118,Healthcare Transformation 118,IBM,Low,3679192,2026-04-12,2027-06-07,On Hold,117
PRJ00119,Cloud Transformation 119,Infosys,High,3476487,2024-07-10,2025-12-04,Completed,101
PRJ00120,Healthcare Transformation 120,HSBC,Low,585153,2026-02-21,2027-03-05,Active,431
PRJ00121,Cloud Transformation 121,Deloitte,Medium,5157155,2026-05-09,2026-11-25,Active,311
PRJ00122,Banking Transformation 122,Infosys,Medium,7151603,2025-08-26,2027-06-13,Active,84
PRJ00123,Retail Transformation 123,Oracle,Medium,6069700,2025-02-04,2026-03-17,Completed,67
PRJ00124,Healthcare Transformation 124,Accenture,Medium,6757359,2025-12-15,2027-07-23,Active,171
PRJ00125,ERP Transformation 125,HSBC,Medium,2433893,2026-02-15,2027-06-02,Active,312
PRJ00126,AI Transformation 126,TCS,Low,2053149,2024-12-21,2026-05-08,Completed,122
PRJ00127,Banking Transformation 127,IBM,Low,5506243,2024-09-03,2025-12-10,Completed,151
PRJ00128,ERP Transformation 128,Oracle,Medium,2005264,2025-06-11,2026-06-24,Completed,124
PRJ00129,ERP Transformation 129,Amazon,High,5141911,2025-01-09,2025-11-14,Completed,108
PRJ00130,AI Transformation 130,Amazon,Low,2885211,2024-07-29,2026-06-11,Completed,35
PRJ00131,Cloud Transformation 131,Amazon,Medium,7728656,2026-01-01,2027-04-05,Active,311
PRJ00132,Retail Transformation 132,Infosys,High,5340404,2025-06-20,2026-11-15,Active,178
PRJ00133,Cloud Transformation 133,IBM,Medium,1214549,2026-07-18,2026-12-29,Active,65
PRJ00134,Analytics Transformation 134,Deloitte,Low,5500674,2026-06-15,2027-07-25,On Hold,103
PRJ00135,Retail Transformation 135,Infosys,Medium,2994378,2026-04-21,2027-07-07,Active,449
PRJ00136,ERP Transformation 136,IBM,Low,1005248,2025-03-26,2027-05-20,On Hold,451
PRJ00137,Analytics Transformation 137,Oracle,Low,2270207,2025-08-01,2026-12-02,Active,233
PRJ00138,Cloud Transformation 138,Google,Low,1129689,2025-07-29,2026-07-04,Completed,38
PRJ00139,Banking Transformation 139,IBM,Medium,2943260,2024-04-16,2026-01-17,Completed,43
PRJ00140,Banking Transformation 140,Infosys,High,6266202,2024-12-06,2026-03-20,Completed,91
PRJ00141,Retail Transformation 141,Microsoft,Low,2385838,2025-03-15,2026-04-01,Completed,94
PRJ00142,Analytics Transformation 142,Google,High,1000280,2025-05-06,2027-02-26,Active,324
PRJ00143,Retail Transformation 143,Microsoft,Medium,6277049,2024-11-20,2026-03-10,Completed,171
PRJ00144,Healthcare Transformation 144,TCS,Medium,4172187,2024-10-19,2026-01-20,Completed,128
PRJ00145,Banking Transformation 145,Accenture,Low,2600238,2024-11-10,2026-07-25,Completed,109
PRJ00146,Analytics Transformation 146,HSBC,Low,837487,2025-09-30,2026-04-19,Completed,122
PRJ00147,Healthcare Transformation 147,Infosys,Medium,2022441,2026-05-17,2027-06-10,Active,129
PRJ00148,Analytics Transformation 148,Infosys,High,4442732,2026-01-03,2027-09-03,On Hold,167
PRJ00149,Banking Transformation 149,Microsoft,High,3266593,2024-10-05,2026-02-25,Completed,61
PRJ00150,Banking Transformation 150,Deloitte,Low,807837,2024-08-16,2025-12-04,Completed,166
PRJ00151,ERP Transformation 151,Microsoft,Medium,7755395,2026-03-06,2027-02-19,Active,372
PRJ00152,Banking Transformation 152,TCS,Medium,3966571,2025-03-27,2026-10-13,Active,839
PRJ00153,Healthcare Transformation 153,Infosys,Low,4208108,2024-05-21,2025-11-22,Completed,90
PRJ00154,Healthcare Transformation 154,Google,Medium,4175184,2026-05-02,2027-02-26,Active,302
PRJ00155,AI Transformation 155,IBM,High,6454089,2025-12-09,2026-12-14,On Hold,261
PRJ00156,Healthcare Transformation 156,Deloitte,High,2384925,2025-04-25,2025-11-05,Completed,143
PRJ00157,Retail Transformation 157,Microsoft,Low,7480522,2025-05-04,2026-12-10,On Hold,772
PRJ00158,Banking Transformation 158,HSBC,Medium,7502171,2024-04-16,2026-03-18,Completed,129
PRJ00159,Retail Transformation 159,TCS,High,3717752,2025-12-16,2027-02-14,Active,20
PRJ00160,Banking Transformation 160,Google,High,2817331,2023-11-12,2025-10-12,Completed,32
PRJ00161,ERP Transformation 161,TCS,Medium,7383267,2025-06-03,2027-05-13,Active,160
PRJ00162,Analytics Transformation 162,Google,Medium,5017941,2024-05-03,2026-03-15,Completed,130
PRJ00163,Analytics Transformation 163,TCS,Medium,4319707,2026-02-25,2027-07-22,Active,223
PRJ00164,Banking Transformation 164,Oracle,Low,3712592,2025-05-26,2027-01-17,On Hold,330
PRJ00165,ERP Transformation 165,Infosys,Low,7306591,2025-06-06,2026-01-16,Completed,95
PRJ00166,Retail Transformation 166,Amazon,High,4713523,2024-10-15,2025-09-15,Completed,107
PRJ00167,Analytics Transformation 167,Infosys,High,4911997,2026-02-26,2026-12-03,On Hold,211
PRJ00168,Retail Transformation 168,Google,High,4438372,2026-08-07,2026-12-25,On Hold,132
PRJ00169,Healthcare Transformation 169,Deloitte,Low,1173733,2026-04-01,2027-04-04,Active,103
PRJ00170,Retail Transformation 170,Accenture,Low,6529038,2025-06-04,2027-07-13,Active,216
PRJ00171,AI Transformation 171,IBM,High,2469395,2025-12-08,2027-07-17,On Hold,28
PRJ00172,Cloud Transformation 172,Microsoft,Medium,1325800,2025-04-30,2027-03-09,Active,105
PRJ00173,Retail Transformation 173,Google,Low,3012103,2025-08-19,2026-12-03,Active,355
PRJ00174,Analytics Transformation 174,Amazon,Medium,3507008,2026-07-22,2027-03-28,On Hold,101
PRJ00175,Healthcare Transformation 175,Deloitte,Low,6219356,2025-03-28,2026-06-01,Completed,53
PRJ00176,AI Transformation 176,IBM,Medium,5698507,2026-05-19,2027-01-10,Active,521
PRJ00177,Cloud Transformation 177,Oracle,Medium,5851131,2025-12-03,2027-08-07,Active,741
PRJ00178,Analytics Transformation 178,Infosys,Medium,6184212,2025-09-29,2026-04-06,Completed,90
PRJ00179,ERP Transformation 179,IBM,Medium,5859806,2026-07-08,2027-05-27,Active,233
PRJ00180,Retail Transformation 180,HSBC,High,3727040,2025-08-26,2027-02-18,On Hold,546
PRJ00181,Retail Transformation 181,IBM,Medium,5321871,2026-06-21,2027-02-11,Active,138
PRJ00182,Analytics Transformation 182,Deloitte,Medium,567930,2025-08-26,2026-03-16,Completed,106
PRJ00183,Healthcare Transformation 183,Infosys,Medium,7007386,2025-08-28,2026-11-07,Active,22
PRJ00184,Cloud Transformation 184,Oracle,Low,2602409,2025-10-08,2027-04-11,Active,421
PRJ00185,Banking Transformation 185,Microsoft,Low,5921898,2025-08-10,2026-12-22,Active,155
PRJ00186,Healthcare Transformation 186,Accenture,Low,1602362,2025-06-01,2026-01-01,Completed,83
PRJ00187,Banking Transformation 187,Deloitte,High,2184388,2024-10-18,2026-03-16,Completed,71
PRJ00188,Healthcare Transformation 188,TCS,Medium,7466509,2024-05-06,2025-11-11,Completed,142
PRJ00189,Banking Transformation 189,Accenture,High,4428648,2024-08-16,2025-12-11,Completed,111
PRJ00190,Analytics Transformation 190,Deloitte,Low,3568343,2026-06-03,2027-02-05,On Hold,298
PRJ00191,ERP Transformation 191,TCS,High,4315021,2025-07-14,2026-01-24,Completed,134
PRJ00192,Analytics Transformation 192,Accenture,High,6160939,2024-09-09,2026-04-02,Completed,38
PRJ00193,Healthcare Transformation 193,Oracle,Low,1030302,2025-03-05,2026-08-02,Completed,100
PRJ00194,Banking Transformation 194,Deloitte,High,1672534,2025-12-20,2027-03-16,Active,51
PRJ00195,Retail Transformation 195,Microsoft,High,2469645,2025-03-22,2026-07-26,Completed,50
PRJ00196,Retail Transformation 196,Accenture,Low,6733911,2026-06-06,2027-04-29,On Hold,195
PRJ00197,Healthcare Transformation 197,Google,Medium,5993883,2025-11-11,2027-05-15,Active,421
PRJ00198,ERP Transformation 198,Amazon,Low,3608230,2024-04-19,2025-12-07,Completed,155
PRJ00199,Analytics Transformation 199,Accenture,High,6251902,2024-11-04,2025-12-30,Completed,150
PRJ00200,AI Transformation 200,Deloitte,Medium,2092229,2024-03-20,2025-09-18,Completed,135
PRJ00201,AI Transformation 201,Oracle,Low,5864455,2025-04-16,2027-06-02,On Hold,631
PRJ00202,Analytics Transformation 202,Accenture,High,1556326,2026-08-04,2026-11-07,Active,159
PRJ00203,Analytics Transformation 203,TCS,High,5418937,2026-05-01,2026-11-17,Active,268
PRJ00204,Analytics Transformation 204,Google,Low,523786,2024-11-17,2026-04-17,Completed,115
PRJ00205,Healthcare Transformation 205,HSBC,High,1422129,2025-07-23,2026-06-01,Completed,138
PRJ00206,AI Transformation 206,Accenture,High,5439656,2026-08-01,2026-12-19,Active,146
PRJ00207,AI Transformation 207,Google,Low,4031273,2025-02-20,2026-05-17,Completed,55
PRJ00208,Retail Transformation 208,Infosys,Medium,4805352,2025-07-29,2026-11-14,Active,359
PRJ00209,Cloud Transformation 209,IBM,High,6600556,2025-12-26,2027-06-27,Active,376
PRJ00210,ERP Transformation 210,Infosys,Low,761310,2025-05-28,2027-07-06,Active,300
PRJ00211,Retail Transformation 211,Microsoft,Medium,6476055,2024-04-30,2025-12-12,Completed,71
PRJ00212,ERP Transformation 212,IBM,High,1050982,2026-07-08,2026-11-23,On Hold,27
PRJ00213,Retail Transformation 213,IBM,Low,2973781,2024-05-05,2025-09-29,Completed,96
PRJ00214,AI Transformation 214,Microsoft,Low,5960284,2025-10-09,2027-05-21,Active,180
PRJ00215,Retail Transformation 215,Infosys,High,3971319,2025-11-05,2027-01-31,On Hold,115
PRJ00216,Retail Transformation 216,Microsoft,Medium,4079955,2024-05-16,2025-12-25,Completed,159
PRJ00217,Cloud Transformation 217,Infosys,High,1265248,2024-09-20,2026-04-06,Completed,46
PRJ00218,AI Transformation 218,Accenture,High,5167176,2026-06-28,2027-05-22,Active,312
PRJ00219,Banking Transformation 219,Microsoft,Medium,3466195,2024-06-01,2025-10-31,Completed,120
PRJ00220,Analytics Transformation 220,Amazon,Medium,5536604,2025-04-20,2027-05-17,On Hold,489
PRJ00221,Cloud Transformation 221,Google,Low,4544897,2024-07-23,2026-06-22,Completed,137
PRJ00222,Analytics Transformation 222,TCS,Medium,1463727,2024-12-29,2026-06-20,Completed,170
PRJ00223,Analytics Transformation 223,Deloitte,Low,6937690,2025-10-25,2027-02-05,Active,333
PRJ00224,Healthcare Transformation 224,Amazon,Low,6018288,2025-10-04,2027-09-07,Active,296
PRJ00225,Cloud Transformation 225,HSBC,Low,6895554,2026-03-31,2026-10-27,Active,164
PRJ00226,AI Transformation 226,Google,High,5250645,2024-09-01,2026-02-22,Completed,113
PRJ00227,Banking Transformation 227,Amazon,High,6758839,2026-07-10,2026-12-24,Active,43
PRJ00228,Retail Transformation 228,Accenture,High,3604230,2026-02-03,2027-05-15,Active,97
PRJ00229,AI Transformation 229,Google,High,6828666,2025-06-08,2026-03-01,Completed,146
PRJ00230,ERP Transformation 230,Infosys,Low,4056893,2025-09-03,2026-11-23,Active,487
PRJ00231,ERP Transformation 231,Oracle,Low,1454770,2025-12-31,2027-05-13,Active,324
PRJ00232,Banking Transformation 232,IBM,Medium,4920243,2025-03-06,2026-06-19,Completed,37
PRJ00233,Retail Transformation 233,IBM,High,564483,2026-07-22,2027-02-02,Active,150
PRJ00234,Analytics Transformation 234,HSBC,Medium,3252489,2025-06-12,2026-04-28,Completed,43
PRJ00235,Cloud Transformation 235,Google,Medium,4967624,2024-03-23,2025-12-03,Completed,77
PRJ00236,Analytics Transformation 236,Accenture,High,3830874,2025-12-01,2027-07-26,Active,316
PRJ00237,AI Transformation 237,Infosys,High,7731902,2026-07-24,2027-05-24,On Hold,430
PRJ00238,Banking Transformation 238,Deloitte,Medium,1466144,2024-05-23,2026-01-07,Completed,143
PRJ00239,Analytics Transformation 239,IBM,Medium,7479539,2025-03-11,2026-03-01,Completed,64
PRJ00240,Retail Transformation 240,Microsoft,High,4154719,2026-02-10,2026-11-27,Active,196
PRJ00241,Retail Transformation 241,HSBC,Low,3348043,2025-11-19,2026-11-22,Active,484
PRJ00242,Healthcare Transformation 242,Microsoft,Low,4777787,2025-09-04,2026-05-20,Completed,30
PRJ00243,Banking Transformation 243,Google,High,1362386,2024-08-27,2026-02-17,Completed,132
PRJ00244,Healthcare Transformation 244,Google,Low,1132109,2025-05-13,2026-05-05,Completed,81
PRJ00245,Retail Transformation 245,IBM,Low,4265690,2023-11-12,2025-09-27,Completed,108
PRJ00246,Banking Transformation 246,IBM,Medium,7749828,2025-05-20,2027-07-29,Active,120
PRJ00247,Retail Transformation 247,Microsoft,Medium,4209510,2026-03-06,2026-12-29,On Hold,47
PRJ00248,Healthcare Transformation 248,Amazon,Medium,4755850,2025-07-03,2027-03-02,Active,549
PRJ00249,AI Transformation 249,Amazon,Medium,7476777,2024-03-19,2025-12-21,Completed,110
PRJ00250,Healthcare Transformation 250,IBM,Low,3725272,2024-12-20,2025-09-18,Completed,177
PRJ00251,Retail Transformation 251,IBM,Low,2079067,2025-11-04,2026-11-03,Active,446
PRJ00252,Cloud Transformation 252,Amazon,Medium,1368236,2024-01-21,2025-12-14,Completed,51
PRJ00253,Banking Transformation 253,Microsoft,Low,5920106,2025-06-12,2027-04-06,Active,201
PRJ00254,Retail Transformation 254,TCS,Low,5615418,2024-07-21,2026-04-10,Completed,58
PRJ00255,Retail Transformation 255,Deloitte,Medium,6195006,2024-10-24,2026-02-05,Completed,70
PRJ00256,Banking Transformation 256,Accenture,High,3265646,2025-07-06,2027-09-01,Active,416
PRJ00257,ERP Transformation 257,IBM,High,3296443,2024-10-16,2026-01-29,Completed,93
PRJ00258,ERP Transformation 258,Deloitte,High,5491567,2024-12-12,2026-06-03,Completed,162
PRJ00259,Healthcare Transformation 259,Deloitte,Low,7140941,2026-07-02,2027-03-20,Active,299
PRJ00260,AI Transformation 260,Deloitte,Low,3535234,2024-06-21,2026-06-10,Completed,63
PRJ00261,Cloud Transformation 261,Accenture,Medium,2110656,2025-03-10,2026-03-09,Completed,135
PRJ00262,AI Transformation 262,HSBC,High,4758809,2025-07-02,2026-06-05,Completed,111
PRJ00263,AI Transformation 263,Accenture,Low,1599319,2025-06-13,2027-07-09,Active,61
PRJ00264,Cloud Transformation 264,IBM,High,6549721,2026-05-28,2027-01-04,Active,238
PRJ00265,Banking Transformation 265,Oracle,Medium,5622045,2024-07-12,2026-01-16,Completed,145
PRJ00266,Healthcare Transformation 266,Oracle,Medium,7283228,2024-11-04,2025-12-28,Completed,152
PRJ00267,ERP Transformation 267,IBM,Medium,4372852,2025-05-09,2027-01-20,Active,244
PRJ00268,Healthcare Transformation 268,TCS,Medium,1859442,2025-07-12,2027-04-26,Active,376
PRJ00269,Cloud Transformation 269,HSBC,High,5878599,2025-06-30,2027-08-18,Active,153
PRJ00270,AI Transformation 270,TCS,High,2891281,2026-02-05,2027-07-23,Active,224
PRJ00271,Retail Transformation 271,TCS,High,7471325,2025-02-19,2026-05-24,Completed,64
PRJ00272,ERP Transformation 272,Amazon,Medium,946751,2024-07-21,2026-04-23,Completed,96
PRJ00273,Retail Transformation 273,Microsoft,Medium,2383567,2024-12-10,2026-02-04,Completed,74
PRJ00274,Analytics Transformation 274,Google,High,821310,2025-01-18,2026-06-25,Completed,113
PRJ00275,Analytics Transformation 275,Infosys,Medium,5661915,2025-01-28,2025-12-16,Completed,102
PRJ00276,ERP Transformation 276,Oracle,High,5103703,2025-12-18,2026-07-05,Completed,80
PRJ00277,Retail Transformation 277,Microsoft,Medium,2493470,2025-10-07,2027-07-10,On Hold,506
PRJ00278,Retail Transformation 278,IBM,Medium,1026864,2025-05-23,2026-07-21,Completed,51
PRJ00279,Banking Transformation 279,TCS,Low,2529524,2025-05-20,2025-12-02,Completed,136
PRJ00280,AI Transformation 280,IBM,Medium,2517999,2026-03-18,2027-05-20,Active,174
PRJ00281,Healthcare Transformation 281,Accenture,High,4912906,2026-05-11,2026-11-25,Active,272
PRJ00282,Healthcare Transformation 282,Amazon,Medium,7826035,2025-07-08,2027-06-29,Active,595
PRJ00283,ERP Transformation 283,HSBC,Low,636249,2025-09-23,2027-04-29,Active,350
PRJ00284,Cloud Transformation 284,Microsoft,Low,6667195,2025-01-24,2026-07-11,Completed,124
