AssignmentID,EmployeeID,ProjectID,AllocationPercent,AssignmentStart,AssignmentEnd,Status
151,EMP0058442,PRJ00152,100,2025-03-27,,Assigned
152,EMP0087472,PRJ00664,100,2026-05-01,,Assigned
153,EMP0068452,PRJ00836,60,2025-08-01,,Assigned
154,EMP0068452,PRJ00710,40,2026-05-15,,Assigned
155,EMP0082578,PRJ00157,100,2025-05-04,,Assigned
156,EMP0064881,PRJ00177,100,2025-12-03,,Assigned
157,EMP0045974,PRJ00644,100,2025-08-08,,Assigned
158,EMP0045902,PRJ00716,100,2026-06-23,,Assigned
159,EMP0075861,PRJ00157,100,2025-05-04,,Assigned
160,EMP0070763,PRJ00854,100,2026-01-27,,Assigned
161,EMP0025310,PRJ00710,100,2026-05-15,,Assigned
162,EMP0035637,PRJ00854,50,2026-01-27,,Assigned
163,EMP0035637,PRJ00152,50,2025-03-27,,Assigned
164,EMP0016770,PRJ00698,100,2025-06-20,,Assigned
165,EMP0041736,PRJ00157,100,2025-05-04,,Assigned
166,EMP0064053,PRJ00716,50,2026-06-23,,Assigned
167,EMP0064053,PRJ00009,30,2025-05-18,,Assigned
168,EMP0064053,PRJ00664,20,2026-05-01,,Assigned
169,EMP0042138,PRJ00664,100,2026-05-01,,Assigned
170,EMP0073597,PRJ00698,50,2025-06-20,,Assigned
171,EMP0073597,PRJ00644,50,2025-08-08,,Assigned
172,EMP0066418,PRJ00157,100,2025-05-04,,Assigned
173,EMP0009777,PRJ00836,100,2025-08-01,,Assigned
174,EMP0043910,PRJ00152,100,2025-03-27,,Assigned
175,EMP0056431,PRJ00854,100,2026-01-27,,Assigned
176,EMP0051075,PRJ00854,100,2026-01-27,,Assigned
177,EMP0015103,PRJ00157,100,2025-05-04,,Assigned
178,EMP0003185,PRJ00716,50,2026-06-23,,Assigned
179,EMP0003185,PRJ00152,30,2025-03-27,,Assigned
180,EMP0003185,PRJ00995,20,2025-08-17,,Assigned
181,EMP0086223,PRJ00157,50,2025-05-04,,Assigned
182,EMP0086223,PRJ00664,50,2026-05-01,,Assigned
183,EMP0010919,PRJ00698,60,2025-06-20,,Assigned
184,EMP0010919,PRJ00836,40,2025-08-01,,Assigned
185,EMP0035647,PRJ00664,100,2026-05-01,,Assigned
186,EMP0033708,PRJ00836,100,2025-08-01,,Assigned
187,EMP0043342,PRJ00836,100,2025-08-01,,Assigned
188,EMP0065817,PRJ00157,100,2025-05-04,,Assigned
189,EMP0046028,PRJ00698,50,2025-06-20,,Assigned
190,EMP0046028,PRJ00854,50,2026-01-27,,Assigned
191,EMP0069000,PRJ00157,100,2025-05-04,,Assigned
192,EMP0006049,PRJ00716,100,2026-06-23,,Assigned
193,EMP0041346,PRJ00854,100,2026-01-27,,Assigned
194,EMP0044449,PRJ00716,100,2026-06-23,,Assigned
195,EMP0000357,PRJ00177,100,2025-12-03,,Assigned
196,EMP0031615,PRJ00836,100,2025-08-01,,Assigned
197,EMP0077841,PRJ00854,50,2026-01-27,,Assigned
198,EMP0077841,PRJ00009,30,2025-05-18,,Assigned
199,EMP0077841,PRJ00716,20,2026-06-23,,Assigned
200,EMP0068580,PRJ00157,50,2025-05-04,,Assigned
201,EMP0068580,PRJ00664,50,2026-05-01,,Assigned
202,EMP0060471,PRJ00698,100,2025-06-20,,Assigned
203,EMP0009354,PRJ00854,60,2026-01-27,,Assigned
204,EMP0009354,PRJ00152,40,2025-03-27,,Assigned
205,EMP0046727,PRJ00836,100,2025-08-01,,Assigned
206,EMP0066293,PRJ00698,100,2025-06-20,,Assigned
207,EMP0028990,PRJ00698,100,2025-06-20,,Assigned
208,EMP0050021,PRJ00698,100,2025-06-20,,Assigned
209,EMP0084729,PRJ00177,70,2025-12-03,,Assigned
210,EMP0084729,PRJ00664,30,2026-05-01,,Assigned
211,EMP0002548,PRJ00698,100,2025-06-20,,Assigned
212,EMP0029359,PRJ00177,100,2025-12-03,,Assigned
213,EMP0099822,PRJ00710,100,2026-05-15,,Assigned
214,EMP0060704,PRJ00836,100,2025-08-01,,Assigned
215,EMP0096561,PRJ00644,70,2025-08-08,,Assigned
216,EMP0096561,PRJ00664,30,2026-05-01,,Assigned
217,EMP0025362,PRJ00177,60,2025-12-03,,Assigned
218,EMP0025362,PRJ00157,40,2025-05-04,,Assigned
219,EMP0002891,PRJ00152,50,2025-03-27,,Assigned
220,EMP0002891,PRJ00716,25,2026-06-23,,Assigned
221,EMP0002891,PRJ00177,25,2025-12-03,,Assigned
222,EMP0095812,PRJ00644,100,2025-08-08,,Assigned
223,EMP0068000,PRJ00698,100,2025-06-20,,Assigned
224,EMP0083133,PRJ00152,50,2025-03-27,,Assigned
225,EMP0083133,PRJ00698,50,2025-06-20,,Assigned
226,EMP0087703,PRJ00836,50,2025-08-01,,Assigned
227,EMP0087703,PRJ00152,50,2025-03-27,,Assigned
228,EMP0072751,PRJ00854,100,2026-01-27,,Assigned
229,EMP0034189,PRJ00664,100,2026-05-01,,Assigned
230,EMP0053938,PRJ00716,100,2026-06-23,,Assigned
231,EMP0007719,PRJ00157,50,2025-05-04,,Assigned
232,EMP0007719,PRJ00836,50,2025-08-01,,Assigned
233,EMP0023786,PRJ00177,100,2025-12-03,,Assigned
234,EMP0043434,PRJ00644,100,2025-08-08,,Assigned
235,EMP0026603,PRJ00710,50,2026-05-15,,Assigned
236,EMP0026603,PRJ00716,30,2026-06-23,,Assigned
237,EMP0026603,PRJ00152,20,2025-03-27,,Assigned
238,EMP0073746,PRJ00854,100,2026-01-27,,Assigned
239,EMP0086898,PRJ00698,60,2025-06-20,,Assigned
240,EMP0086898,PRJ00152,40,2025-03-27,,Assigned
241,EMP0050654,PRJ00157,100,2025-05-04,,Assigned
242,EMP0033247,PRJ00716,70,2026-06-23,,Assigned
243,EMP0033247,PRJ00664,30,2026-05-01,,Assigned
244,EMP0044399,PRJ00854,100,2026-01-27,,Assigned
245,EMP0024479,PRJ00854,100,2026-01-27,,Assigned
246,EMP0052921,PRJ00152,50,2025-03-27,,Assigned
247,EMP0052921,PRJ00710,25,2026-05-15,,Assigned
248,EMP0052921,PRJ00854,25,2026-01-27,,Assigned
249,EMP0086628,PRJ00644,100,2025-08-08,,Assigned
250,EMP0089144,PRJ00157,100,2025-05-04,,Assigned
251,EMP0002532,PRJ00157,100,2025-05-04,,Assigned
252,EMP0067387,PRJ00854,50,2026-01-27,,Assigned
253,EMP0067387,PRJ00716,50,2026-06-23,,Assigned
254,EMP0076872,PRJ00854,100,2026-01-27,,Assigned
255,EMP0012036,PRJ00710,100,2026-05-15,,Assigned
256,EMP0095979,PRJ00177,100,2025-12-03,,Assigned
257,EMP0042704,PRJ00716,100,2026-06-23,,Assigned
258,EMP0047151,PRJ00716,60,2026-06-23,,Assigned
259,EMP0047151,PRJ00710,40,2026-05-15,,Assigned
260,EMP0000850,PRJ00152,100,2025-03-27,,Assigned
261,EMP0089724,PRJ00698,100,2025-06-20,,Assigned
262,EMP0059901,PRJ00644,100,2025-08-08,,Assigned
263,EMP0019538,PRJ00854,100,2026-01-27,,Assigned
264,EMP0085385,PRJ00157,40,2025-05-04,,Assigned
265,EMP0085385,PRJ00710,30,2026-05-15,,Assigned
266,EMP0085385,PRJ00854,30,2026-01-27,,Assigned
267,EMP0009718,PRJ00698,100,2025-06-20,,Assigned
268,EMP0065742,PRJ00836,100,2025-08-01,,Assigned
269,EMP0006608,PRJ00698,100,2025-06-20,,Assigned
270,EMP0095490,PRJ00836,100,2025-08-01,,Assigned
271,EMP0012217,PRJ00152,100,2025-03-27,,Assigned
272,EMP0016521,PRJ00152,100,2025-03-27,,Assigned
273,EMP0030729,PRJ00710,100,2026-05-15,,Assigned
274,EMP0032714,PRJ00716,100,2026-06-23,,Assigned
275,EMP0004775,PRJ00644,50,2025-08-08,,Assigned
276,EMP0004775,PRJ00716,50,2026-06-23,,Assigned
277,EMP0008616,PRJ00698,100,2025-06-20,,Assigned
278,EMP0026133,PRJ00854,100,2026-01-27,,Assigned
279,EMP0085801,PRJ00716,100,2026-06-23,,Assigned
280,EMP0072347,PRJ00644,100,2025-08-08,,Assigned
281,EMP0044620,PRJ00664,60,2026-05-01,,Assigned
282,EMP0044620,PRJ00152,40,2025-03-27,,Assigned
283,EMP0099948,PRJ00854,100,2026-01-27,,Assigned
284,EMP0097667,PRJ00836,100,2025-08-01,,Assigned
285,EMP0035447,PRJ00836,100,2025-08-01,,Assigned
286,EMP0005943,PRJ00698,100,2025-06-20,,Assigned
287,EMP0029803,PRJ00710,100,2026-05-15,,Assigned
288,EMP0007001,PRJ00644,100,2025-08-08,,Assigned
289,EMP0007242,PRJ00710,50,2026-05-15,,Assigned
290,EMP0007242,PRJ00152,30,2025-03-27,,Assigned
291,EMP0007242,PRJ00664,20,2026-05-01,,Assigned
292,EMP0097702,PRJ00854,100,2026-01-27,,Assigned
293,EMP0010235,PRJ00698,100,2025-06-20,,Assigned
294,EMP0017411,PRJ00664,50,2026-05-01,,Assigned
295,EMP0017411,PRJ00152,50,2025-03-27,,Assigned
296,EMP0058138,PRJ00644,100,2025-08-08,,Assigned
297,EMP0043356,PRJ00716,40,2026-06-23,,Assigned
298,EMP0043356,PRJ00836,30,2025-08-01,,Assigned
299,EMP0043356,PRJ00698,30,2025-06-20,,Assigned
300,EMP0020115,PRJ00836,100,2025-08-01,,Assigned
301,EMP0076268,PRJ00698,100,2025-06-20,,Assigned
302,EMP0004081,PRJ00716,100,2026-06-23,,Assigned
303,EMP0086167,PRJ00177,100,2025-12-03,,Assigned
304,EMP0079740,PRJ00157,100,2025-05-04,,Assigned
305,EMP0030549,PRJ00177,100,2025-12-03,,Assigned
306,EMP0028246,PRJ00152,50,2025-03-27,,Assigned
307,EMP0028246,PRJ00664,30,2026-05-01,,Assigned
308,EMP0028246,PRJ00710,20,2026-05-15,,Assigned
309,EMP0065588,PRJ00152,50,2025-03-27,,Assigned
310,EMP0065588,PRJ00698,50,2025-06-20,,Assigned
311,EMP0039155,PRJ00854,70,2026-01-27,,Assigned
312,EMP0039155,PRJ00995,30,2025-08-17,,Assigned
313,EMP0068444,PRJ00698,50,2025-06-20,,Assigned
314,EMP0068444,PRJ00836,30,2025-08-01,,Assigned
315,EMP0068444,PRJ00716,20,2026-06-23,,Assigned
316,EMP0024343,PRJ00177,50,2025-12-03,,Assigned
317,EMP0024343,PRJ00716,50,2026-06-23,,Assigned
318,EMP0092138,PRJ00177,60,2025-12-03,,Assigned
319,EMP0092138,PRJ00009,40,2025-05-18,,Assigned
320,EMP0035864,PRJ00157,100,2025-05-04,,Assigned
321,EMP0076655,PRJ00710,70,2026-05-15,,Assigned
322,EMP0076655,PRJ00854,30,2026-01-27,,Assigned
323,EMP0016956,PRJ00854,100,2026-01-27,,Assigned
324,EMP0008145,PRJ00836,70,2025-08-01,,Assigned
325,EMP0008145,PRJ00854,30,2026-01-27,,Assigned
326,EMP0052392,PRJ00836,100,2025-08-01,,Assigned
327,EMP0053243,PRJ00710,50,2026-05-15,,Assigned
328,EMP0053243,PRJ00664,30,2026-05-01,,Assigned
329,EMP0053243,PRJ00157,20,2025-05-04,,Assigned
330,EMP0058652,PRJ00716,50,2026-06-23,,Assigned
331,EMP0058652,PRJ00644,25,2025-08-08,,Assigned
332,EMP0058652,PRJ00177,25,2025-12-03,,Assigned
333,EMP0074145,PRJ00177,50,2025-12-03,,Assigned
334,EMP0074145,PRJ00157,50,2025-05-04,,Assigned
335,EMP0077118,PRJ00177,100,2025-12-03,,Assigned
336,EMP0090687,PRJ00710,100,2026-05-15,,Assigned
337,EMP0058446,PRJ00716,100,2026-06-23,,Assigned
338,EMP0008049,PRJ00710,50,2026-05-15,,Assigned
339,EMP0008049,PRJ00995,50,2025-08-17,,Assigned
340,EMP0000483,PRJ00177,100,2025-12-03,,Assigned
341,EMP0034248,PRJ00177,100,2025-12-03,,Assigned
342,EMP0035331,PRJ00854,100,2026-01-27,,Assigned
343,EMP0005462,PRJ00698,100,2025-06-20,,Assigned
344,EMP0037380,PRJ00177,100,2025-12-03,,Assigned
345,EMP0081538,PRJ00710,40,2026-05-15,,Assigned
346,EMP0081538,PRJ00157,30,2025-05-04,,Assigned
347,EMP0081538,PRJ00716,30,2026-06-23,,Assigned
348,EMP0070252,PRJ00644,100,2025-08-08,,Assigned
349,EMP0060134,PRJ00716,100,2026-06-23,,Assigned
350,EMP0007236,PRJ00152,50,2025-03-27,,Assigned
351,EMP0007236,PRJ00854,50,2026-01-27,,Assigned
352,EMP0008766,PRJ00716,100,2026-06-23,,Assigned
353,EMP0006737,PRJ00177,100,2025-12-03,,Assigned
354,EMP0080685,PRJ00716,50,2026-06-23,,Assigned
355,EMP0080685,PRJ00698,30,2025-06-20,,Assigned
356,EMP0080685,PRJ00644,20,2025-08-08,,Assigned
357,EMP0078556,PRJ00854,50,2026-01-27,,Assigned
358,EMP0078556,PRJ00716,30,2026-06-23,,Assigned
359,EMP0078556,PRJ00009,20,2025-05-18,,Assigned
360,EMP0030419,PRJ00854,100,2026-01-27,,Assigned
361,EMP0067054,PRJ00698,50,2025-06-20,,Assigned
362,EMP0067054,PRJ00152,25,2025-03-27,,Assigned
363,EMP0067054,PRJ00716,25,2026-06-23,,Assigned
364,EMP0015786,PRJ00710,70,2026-05-15,,Assigned
365,EMP0015786,PRJ00698,30,2025-06-20,,Assigned
366,EMP0041673,PRJ00698,100,2025-06-20,,Assigned
367,EMP0042988,PRJ00698,100,2025-06-20,,Assigned
368,EMP0046534,PRJ00854,100,2026-01-27,,Assigned
369,EMP0034400,PRJ00152,60,2025-03-27,,Assigned
370,EMP0034400,PRJ00157,40,2025-05-04,,Assigned
371,EMP0040460,PRJ00716,100,2026-06-23,,Assigned
372,EMP0000983,PRJ00664,70,2026-05-01,,Assigned
373,EMP0000983,PRJ00716,30,2026-06-23,,Assigned
374,EMP0068024,PRJ00157,100,2025-05-04,,Assigned
375,EMP0004412,PRJ00644,50,2025-08-08,,Assigned
376,EMP0004412,PRJ00698,30,2025-06-20,,Assigned
377,EMP0004412,PRJ00177,20,2025-12-03,,Assigned
378,EMP0008984,PRJ00710,70,2026-05-15,,Assigned
379,EMP0008984,PRJ00152,30,2025-03-27,,Assigned
380,EMP0082049,PRJ00710,100,2026-05-15,,Assigned
381,EMP0006429,PRJ00716,50,2026-06-23,,Assigned
382,EMP0006429,PRJ00836,50,2025-08-01,,Assigned
383,EMP0018964,PRJ00710,100,2026-05-15,,Assigned
384,EMP0089808,PRJ00698,60,2025-06-20,,Assigned
385,EMP0089808,PRJ00836,40,2025-08-01,,Assigned
386,EMP0063411,PRJ00716,100,2026-06-23,,Assigned
387,EMP0037930,PRJ00854,100,2026-01-27,,Assigned
388,EMP0044440,PRJ00854,100,2026-01-27,,Assigned
389,EMP0018296,PRJ00152,100,2025-03-27,,Assigned
390,EMP0087095,PRJ00177,100,2025-12-03,,Assigned
391,EMP0017087,PRJ00836,100,2025-08-01,,Assigned
392,EMP0042085,PRJ00644,50,2025-08-08,,Assigned
393,EMP0042085,PRJ00854,25,2026-01-27,,Assigned
394,EMP0042085,PRJ00836,25,2025-08-01,,Assigned
395,EMP0083435,PRJ00644,100,2025-08-08,,Assigned
396,EMP0038477,PRJ00854,100,2026-01-27,,Assigned
397,EMP0000656,PRJ00710,100,2026-05-15,,Assigned
398,EMP0033044,PRJ00152,100,2025-03-27,,Assigned
399,EMP0079311,PRJ00698,100,2025-06-20,,Assigned
400,EMP0090350,PRJ00836,100,2025-08-01,,Assigned
401,EMP0070895,PRJ00854,100,2026-01-27,,Assigned
402,EMP0025485,PRJ00698,100,2025-06-20,,Assigned
403,EMP0006105,PRJ00664,100,2026-05-01,,Assigned
404,EMP0092283,PRJ00664,100,2026-05-01,,Assigned
405,EMP0031197,PRJ00836,50,2025-08-01,,Assigned
406,EMP0031197,PRJ00152,25,2025-03-27,,Assigned
407,EMP0031197,PRJ00009,25,2025-05-18,,Assigned
408,EMP0081670,PRJ00698,100,2025-06-20,,Assigned
409,EMP0099900,PRJ00664,100,2026-05-01,,Assigned
410,EMP0046792,PRJ00716,100,2026-06-23,,Assigned
411,EMP0081478,PRJ00152,60,2025-03-27,,Assigned
412,EMP0081478,PRJ00710,40,2026-05-15,,Assigned
413,EMP0067488,PRJ00698,100,2025-06-20,,Assigned
414,EMP0053474,PRJ00157,100,2025-05-04,,Assigned
415,EMP0048501,PRJ00698,70,2025-06-20,,Assigned
416,EMP0048501,PRJ00157,30,2025-05-04,,Assigned
417,EMP0030611,PRJ00854,50,2026-01-27,,Assigned
418,EMP0030611,PRJ00157,50,2025-05-04,,Assigned
419,EMP0093016,PRJ00664,50,2026-05-01,,Assigned
420,EMP0093016,PRJ00152,50,2025-03-27,,Assigned
421,EMP0056740,PRJ00716,100,2026-06-23,,Assigned
422,EMP0098987,PRJ00177,100,2025-12-03,,Assigned
423,EMP0083763,PRJ00644,100,2025-08-08,,Assigned
424,EMP0033787,PRJ00698,70,2025-06-20,,Assigned
425,EMP0033787,PRJ00995,30,2025-08-17,,Assigned
426,EMP0017747,PRJ00836,50,2025-08-01,,Assigned
427,EMP0017747,PRJ00710,50,2026-05-15,,Assigned
428,EMP0013273,PRJ00716,100,2026-06-23,,Assigned
429,EMP0048646,PRJ00177,100,2025-12-03,,Assigned
430,EMP0069311,PRJ00716,40,2026-06-23,,Assigned
431,EMP0069311,PRJ00177,30,2025-12-03,,Assigned
432,EMP0069311,PRJ00009,30,2025-05-18,,Assigned
433,EMP0083284,PRJ00157,100,2025-05-04,,Assigned
434,EMP0045926,PRJ00698,100,2025-06-20,,Assigned
435,EMP0049220,PRJ00716,100,2026-06-23,,Assigned
436,EMP0028865,PRJ00710,100,2026-05-15,,Assigned
437,EMP0067178,PRJ00716,100,2026-06-23,,Assigned
438,EMP0090050,PRJ00644,50,2025-08-08,,Assigned
439,EMP0090050,PRJ00836,25,2025-08-01,,Assigned
440,EMP0090050,PRJ00710,25,2026-05-15,,Assigned
441,EMP0000288,PRJ00854,100,2026-01-27,,Assigned
442,EMP0022035,PRJ00836,100,2025-08-01,,Assigned
443,EMP0028477,PRJ00854,100,2026-01-27,,Assigned
444,EMP0046201,PRJ00716,100,2026-06-23,,Assigned
445,EMP0027818,PRJ00854,50,2026-01-27,,Assigned
446,EMP0027818,PRJ00698,30,2025-06-20,,Assigned
447,EMP0027818,PRJ00710,20,2026-05-15,,Assigned
448,EMP0020221,PRJ00664,100,2026-05-01,,Assigned
