ReviewID,EmployeeID,ReviewDate,PerformanceScore,PerformanceRating
REV00000085,EMP0000033,2025-12-31,3.8,3
REV00000086,EMP0000034,2023-12-31,3.8,3
REV00000087,EMP0000034,2024-12-31,4.2,4
REV00000088,EMP0000034,2025-12-31,4.4,4
REV00000089,EMP0000035,2023-12-31,4.0,4
REV00000090,EMP0000035,2024-12-31,4.1,4
REV00000091,EMP0000035,2025-12-31,3.9,3
REV00000092,EMP0000036,2023-12-31,3.9,3
REV00000093,EMP0000036,2024-12-31,3.8,3
REV00000094,EMP0000036,2025-12-31,3.8,3
REV00000095,EMP0000037,2024-12-31,3.7,3
REV00000096,EMP0000037,2025-12-31,3.3,3
REV00000097,EMP0000038,2025-12-31,4.4,4
REV00000098,EMP0000039,2023-12-31,3.5,3
REV00000099,EMP0000039,2024-12-31,3.4,3
REV00000100,EMP0000039,2025-12-31,3.1,3
REV00000101,EMP0000040,2024-12-31,4.3,4
REV00000102,EMP0000040,2025-12-31,4.3,4
REV00000103,EMP0000041,2023-12-31,5.0,4
REV00000104,EMP0000041,2024-12-31,5.0,4
REV00000105,EMP0000041,2025-12-31,4.8,4
REV00000106,EMP0000042,2024-12-31,4.6,4
REV00000107,EMP0000042,2025-12-31,4.5,4
REV00000108,EMP0000043,2023-12-31,4.4,4
REV00000109,EMP0000043,2024-12-31,4.2,4
REV00000110,EMP0000043,2025-12-31,3.7,3
REV00000111,EMP0000044,2023-12-31,4.2,4
REV00000112,EMP0000044,2024-12-31,4.2,4
REV00000113,EMP0000044,2025-12-31,4.6,4
REV00000114,EMP0000045,2023-12-31,4.0,4
REV00000115,EMP0000045,2024-12-31,3.8,3
REV00000116,EMP0000045,2025-12-31,3.5,3
REV00000117,EMP0000046,2023-12-31,4.1,4
REV00000118,EMP0000046,2024-12-31,4.2,4
REV00000119,EMP0000046,2025-12-31,4.4,4
REV00000120,EMP0000047,2023-12-31,3.6,3
REV00000121,EMP0000047,2024-12-31,3.9,3
REV00000122,EMP0000047,2025-12-31,4.0,4
REV00000123,EMP0000048,2023-12-31,3.7,3
REV00000124,EMP0000048,2024-12-31,3.9,3
REV00000125,EMP0000048,2025-12-31,3.6,3
REV00000126,EMP0000049,2024-12-31,3.9,3
REV00000127,EMP0000049,2025-12-31,3.5,3
REV00000128,EMP0000050,2023-12-31,4.4,4
REV00000129,EMP0000050,2024-12-31,4.5,4
REV00000130,EMP0000050,2025-12-31,4.7,4
REV00000131,EMP0000051,2023-12-31,3.7,3
REV00000132,EMP0000051,2024-12-31,3.8,3
REV00000133,EMP0000051,2025-12-31,3.7,3
REV00000134,EMP0000052,2025-12-31,4.2,4
REV00000135,EMP0000053,2023-12-31,3.3,3
REV00000136,EMP0000053,2024-12-31,3.3,3
REV00000137,EMP0000053,2025-12-31,3.0,3
REV00000138,EMP0000054,2023-12-31,4.8,4
REV00000139,EMP0000054,2024-12-31,4.7,4
REV00000140,EMP0000054,2025-12-31,5.0,4
REV00000141,EMP0000055,2023-12-31,4.4,4
REV00000142,EMP0000055,2024-12-31,4.0,4
REV00000143,EMP0000055,2025-12-31,4.5,4
REV00000144,EMP0000056,2023-12-31,3.6,3
REV00000145,EMP0000056,2024-12-31,3.3,3
REV00000146,EMP0000056,2025-12-31,3.2,3
REV00000147,EMP0000057,2023-12-31,3.7,3
REV00000148,EMP0000057,2024-12-31,4.0,4
REV00000149,EMP0000057,2025-12-31,3.8,3
REV00000150,EMP0000058,2023-12-31,4.3,4
REV00000151,EMP0000058,2024-12-31,4.8,4
REV00000152,EMP0000058,2025-12-31,4.4,4
REV00000153,EMP0000059,2023-12-31,3.5,3
REV00000154,EMP0000059,2024-12-31,3.0,3
REV00000155,EMP0000059,2025-12-31,3.2,3
REV00000156,EMP0000060,2024-12-31,3.7,3
REV00000157,EMP0000060,2025-12-31,3.4,3
REV00000158,EMP0000061,2023-12-31,4.2,4
REV00000159,EMP0000061,2024-12-31,4.5,4
REV00000160,EMP0000061,2025-12-31,4.2,4
REV00000161,EMP0000062,2024-12-31,3.6,3
REV00000162,EMP0000062,2025-12-31,4.0,4
REV00000163,EMP0000063,2023-12-31,4.7,4
REV00000164,EMP0000063,2024-12-31,5.0,4
REV00000165,EMP0000063,2025-12-31,5.0,4
REV00000166,EMP0000064,2023-12-31,4.1,4
REV00000167,EMP0000064,2024-12-31,3.7,3
REV00000168,EMP0000064,2025-12-31,3.9,3
REV00000169,EMP0000065,2023-12-31,4.8,4
REV00000170,EMP0000065,2024-12-31,5.0,4
REV00000171,EMP0000065,2025-12-31,4.7,4
REV00000172,EMP0000066,2023-12-31,4.0,4
REV00000173,EMP0000066,2024-12-31,4.1,4
REV00000174,EMP0000066,2025-12-31,4.5,4
REV00000175,EMP0000067,2023-12-31,4.1,4
REV00000176,EMP0000067,2024-12-31,4.0,4
REV00000177,EMP0000067,2025-12-31,4.2,4
REV00000178,EMP0000068,2023-12-31,3.4,3
REV00000179,EMP0000068,2024-12-31,3.6,3
REV00000180,EMP0000068,2025-12-31,3.3,3
REV00000181,EMP0000069,2023-12-31,3.6,3
REV00000182,EMP0000069,2024-12-31,3.6,3
REV00000183,EMP0000069,2025-12-31,4.1,4
REV00000184,EMP0000070,2023-12-31,4.0,4
REV00000185,EMP0000070,2024-12-31,4.0,4
REV00000186,EMP0000070,2025-12-31,4.2,4
REV00000187,EMP0000071,2023-12-31,3.3,3
REV00000188,EMP0000071,2024-12-31,3.6,3
REV00000189,EMP0000071,2025-12-31,3.9,3
REV00000190,EMP0000072,2023-12-31,4.8,4
REV00000191,EMP0000072,2024-12-31,5.0,4
REV00000192,EMP0000072,2025-12-31,5.0,4
REV00000193,EMP0000073,2023-12-31,4.2,4
REV00000194,EMP0000073,2024-12-31,3.8,3
REV00000195,EMP0000073,2025-12-31,3.4,3
REV00000196,EMP0000074,2023-12-31,3.4,3
REV00000197,EMP0000074,2024-12-31,3.2,3
REV00000198,EMP0000074,2025-12-31,2.7,2
REV00000199,EMP0000075,2023-12-31,4.6,4
REV00000200,EMP0000075,2024-12-31,4.3,4
REV00000201,EMP0000075,2025-12-31,4.1,4
REV00000202,EMP0000076,2023-12-31,3.8,3
REV00000203,EMP0000076,2024-12-31,3.7,3
REV00000204,EMP0000076,2025-12-31,3.5,3
REV00000205,EMP0000077,2023-12-31,3.6,3
REV00000206,EMP0000077,2024-12-31,3.6,3
REV00000207,EMP0000077,2025-12-31,3.4,3
REV00000208,EMP0000078,2023-12-31,4.2,4
REV00000209,EMP0000078,2024-12-31,3.8,3
REV00000210,EMP0000078,2025-12-31,3.6,3
REV00000211,EMP0000079,2023-12-31,4.0,4
REV00000212,EMP0000079,2024-12-31,3.7,3
REV00000213,EMP0000079,2025-12-31,3.9,3
REV00000214,EMP0000081,2023-12-31,4.6,4
REV00000215,EMP0000081,2024-12-31,4.4,4
REV00000216,EMP0000081,2025-12-31,4.4,4
REV00000217,EMP0000083,2023-12-31,5.0,4
REV00000218,EMP0000083,2024-12-31,5.0,4
REV00000219,EMP0000083,2025-12-31,4.6,4
REV00000220,EMP0000084,2023-12-31,3.6,3
REV00000221,EMP0000084,2024-12-31,3.4,3
REV00000222,EMP0000084,2025-12-31,3.2,3
REV00000223,EMP0000085,2023-12-31,3.9,3
REV00000224,EMP0000085,2024-12-31,4.0,4
REV00000225,EMP0000085,2025-12-31,3.5,3
REV00000226,EMP0000086,2023-12-31,4.2,4
REV00000227,EMP0000086,2024-12-31,3.8,3
REV00000228,EMP0000086,2025-12-31,4.1,4
REV00000229,EMP0000087,2023-12-31,4.3,4
REV00000230,EMP0000087,2024-12-31,4.2,4
REV00000231,EMP0000087,2025-12-31,4.3,4
REV00000232,EMP0000088,2023-12-31,4.9,4
REV00000233,EMP0000088,2024-12-31,4.8,4
REV00000234,EMP0000088,2025-12-31,5.0,4
REV00000235,EMP0000089,2023-12-31,3.5,3
REV00000236,EMP0000089,2024-12-31,3.6,3
REV00000237,EMP0000089,2025-12-31,3.7,3
REV00000238,EMP0000090,2025-12-31,3.7,3
REV00000239,EMP0000091,2024-12-31,4.2,4
REV00000240,EMP0000091,2025-12-31,4.3,4
REV00000241,EMP0000092,2024-12-31,5.0,4
REV00000242,EMP0000092,2025-12-31,4.9,4
REV00000243,EMP0000093,2023-12-31,3.4,3
REV00000244,EMP0000093,2024-12-31,3.1,3
REV00000245,EMP0000093,2025-12-31,3.0,3
REV00000246,EMP0000094,2023-12-31,3.5,3
REV00000247,EMP0000094,2024-12-31,3.5,3
REV00000248,EMP0000094,2025-12-31,3.1,3
REV00000249,EMP0000095,2024-12-31,4.5,4
REV00000250,EMP0000095,2025-12-31,4.4,4
REV00000251,EMP0000096,2023-12-31,3.6,3
REV00000252,EMP0000096,2024-12-31,3.7,3
REV00000253,EMP0000096,2025-12-31,3.5,3
REV00000254,EMP0000097,2023-12-31,5.0,4
REV00000255,EMP0000097,2024-12-31,5.0,4
REV00000256,EMP0000097,2025-12-31,4.9,4
REV00000257,EMP0000098,2023-12-31,5.0,4
REV00000258,EMP0000098,2024-12-31,4.7,4
REV00000259,EMP0000098,2025-12-31,5.0,4
REV00000260,EMP0000099,2023-12-31,3.8,3
REV00000261,EMP0000099,2024-12-31,3.8,3
REV00000262,EMP0000099,2025-12-31,3.7,3
REV00000263,EMP0000100,2023-12-31,3.9,3
REV00000264,EMP0000100,2024-12-31,3.7,3
REV00000265,EMP0000100,2025-12-31,3.9,3
REV00000266,EMP0000101,2023-12-31,3.6,3
REV00000267,EMP0000101,2024-12-31,4.1,4
REV00000268,EMP0000101,2025-12-31,3.8,3
REV00000269,EMP0000102,2023-12-31,4.6,4
REV00000270,EMP0000102,2024-12-31,5.0,4
REV00000271,EMP0000102,2025-12-31,4.8,4
REV00000272,EMP0000103,2023-12-31,4.4,4
REV00000273,EMP0000103,2024-12-31,4.6,4
REV00000274,EMP0000103,2025-12-31,4.9,4
REV00000275,EMP0000104,2024-12-31,4.2,4
REV00000276,EMP0000104,2025-12-31,4.0,4
REV00000277,EMP0000105,2023-12-31,4.8,4
REV00000278,EMP0000105,2024-12-31,4.8,4
REV00000279,EMP0000105,2025-12-31,4.3,4
REV00000280,EMP0000106,2023-12-31,4.1,4
REV00000281,EMP0000106,2024-12-31,4.1,4
REV00000282,EMP0000106,2025-12-31,3.8,3
REV00000283,EMP0000107,2023-12-31,4.3,4
REV00000284,EMP0000107,2024-12-31,4.4,4
REV00000285,EMP0000107,2025-12-31,4.5,4
REV00000286,EMP0000108,2023-12-31,3.6,3
REV00000287,EMP0000108,2024-12-31,4.0,4
REV00000288,EMP0000108,2025-12-31,4.4,4
REV00000289,EMP0000109,2023-12-31,4.4,4
REV00000290,EMP0000109,2024-12-31,4.3,4
REV00000291,EMP0000109,2025-12-31,4.1,4
REV00000292,EMP0000110,2024-12-31,4.0,4
REV00000293,EMP0000110,2025-12-31,4.2,4
REV00000294,EMP0000111,2023-12-31,3.7,3
REV00000295,EMP0000111,2024-12-31,3.6,3
REV00000296,EMP0000111,2025-12-31,3.8,3
REV00000297,EMP0000112,2025-12-31,4.3,4
REV00000298,EMP0000113,2023-12-31,4.1,4
REV00000299,EMP0000113,2024-12-31,3.8,3
REV00000300,EMP0000113,2025-12-31,3.8,3
REV00000301,EMP0000114,2023-12-31,3.9,3
REV00000302,EMP0000114,2024-12-31,4.3,4
REV00000303,EMP0000114,2025-12-31,4.1,4
REV00000304,EMP0000115,2024-12-31,5.0,4
REV00000305,EMP0000115,2025-12-31,5.0,4
REV00000306,EMP0000116,2023-12-31,4.4,4
REV00000307,EMP0000116,2024-12-31,4.4,4
REV00000308,EMP0000116,2025-12-31,4.8,4
REV00000309,EMP0000117,2023-12-31,3.9,3
REV00000310,EMP0000117,2024-12-31,4.3,4
REV00000311,EMP0000117,2025-12-31,4.6,4
REV00000312,EMP0000118,2023-12-31,3.8,3
REV00000313,EMP0000118,2024-12-31,3.6,3
REV00000314,EMP0000118,2025-12-31,3.7,3
REV00000315,EMP0000119,2023-12-31,3.9,3
REV00000316,EMP0000119,2024-12-31,3.8,3
REV00000317,EMP0000119,2025-12-31,3.4,3
REV00000318,EMP0000120,2023-12-31,4.2,4
REV00000319,EMP0000120,2024-12-31,4.1,4
REV00000320,EMP0000120,2025-12-31,3.8,3
REV00000321,EMP0000121,2025-12-31,4.4,4
REV00000322,EMP0000123,2023-12-31,3.5,3
REV00000323,EMP0000123,2024-12-31,3.6,3
REV00000324,EMP0000123,2025-12-31,3.5,3
REV00000325,EMP0000124,2023-12-31,4.0,4
REV00000326,EMP0000124,2024-12-31,3.7,3
REV00000327,EMP0000124,2025-12-31,3.9,3
REV00000328,EMP0000125,2023-12-31,4.1,4
REV00000329,EMP0000125,2024-12-31,4.3,4
REV00000330,EMP0000125,2025-12-31,4.0,4
REV00000331,EMP0000126,2023-12-31,3.7,3
REV00000332,EMP0000126,2024-12-31,4.2,4
REV00000333,EMP0000126,2025-12-31,4.2,4
REV00000334,EMP0000127,2023-12-31,4.1,4
REV00000335,EMP0000127,2024-12-31,4.5,4
REV00000336,EMP0000127,2025-12-31,4.7,4
REV00000337,EMP0000128,2023-12-31,4.1,4
REV00000338,EMP0000128,2024-12-31,4.5,4
REV00000339,EMP0000128,2025-12-31,4.3,4
REV00000340,EMP0000129,2023-12-31,4.0,4
REV00000341,EMP0000129,2024-12-31,4.0,4
REV00000342,EMP0000129,2025-12-31,4.5,4
REV00000343,EMP0000130,2023-12-31,3.8,3
REV00000344,EMP0000130,2024-12-31,4.1,4
REV00000345,EMP0000130,2025-12-31,4.4,4
REV00000346,EMP0000131,2024-12-31,3.5,3
REV00000347,EMP0000131,2025-12-31,3.8,3
REV00000348,EMP0000132,2023-12-31,3.6,3
REV00000349,EMP0000132,2024-12-31,3.1,3
REV00000350,EMP0000132,2025-12-31,3.4,3
REV00000351,EMP0000133,2023-12-31,3.7,3
REV00000352,EMP0000133,2024-12-31,3.4,3
REV00000353,EMP0000133,2025-12-31,2.9,2
REV00000354,EMP0000135,2023-12-31,4.0,4
REV00000355,EMP0000135,2024-12-31,4.3,4
REV00000356,EMP0000135,2025-12-31,4.7,4
REV00000357,EMP0000136,2023-12-31,3.3,3
REV00000358,EMP0000136,2024-12-31,3.2,3
REV00000359,EMP0000136,2025-12-31,3.4,3
REV00000360,EMP0000137,2023-12-31,4.3,4
REV00000361,EMP0000137,2024-12-31,4.3,4
REV00000362,EMP0000137,2025-12-31,4.4,4
REV00000363,EMP0000138,2023-12-31,3.7,3
REV00000364,EMP0000138,2024-12-31,3.4,3
REV00000365,EMP0000138,2025-12-31,3.6,3
REV00000366,EMP0000139,2023-12-31,5.0,4
REV00000367,EMP0000139,2024-12-31,4.5,4
REV00000368,EMP0000139,2025-12-31,4.6,4
REV00000369,EMP0000140,2023-12-31,3.8,3
REV00000370,EMP0000140,2024-12-31,4.3,4
REV00000371,EMP0000140,2025-12-31,3.9,3
REV00000372,EMP0000142,2023-12-31,3.7,3
REV00000373,EMP0000142,2024-12-31,3.4,3
REV00000374,EMP0000142,2025-12-31,3.6,3
REV00000375,EMP0000143,2023-12-31,3.5,3
REV00000376,EMP0000143,2024-12-31,3.5,3
REV00000377,EMP0000143,2025-12-31,3.5,3
REV00000378,EMP0000144,2023-12-31,4.3,4
REV00000379,EMP0000144,2024-12-31,4.6,4
REV00000380,EMP0000144,2025-12-31,4.6,4
REV00000381,EMP0000145,2024-12-31,4.7,4
REV00000382,EMP0000145,2025-12-31,5.0,4
REV00000383,EMP0000146,2023-12-31,4.1,4
REV00000384,EMP0000146,2024-12-31,4.5,4
REV00000385,EMP0000146,2025-12-31,4.6,4
REV00000386,EMP0000147,2023-12-31,4.0,4
REV00000387,EMP0000147,2024-12-31,4.0,4
REV00000388,EMP0000147,2025-12-31,3.8,3
REV00000389,EMP0000148,2023-12-31,3.8,3
REV00000390,EMP0000148,2024-12-31,4.1,4
REV00000391,EMP0000148,2025-12-31,4.1,4
REV00000392,EMP0000149,2023-12-31,4.0,4
REV00000393,EMP0000149,2024-12-31,3.7,3
REV00000394,EMP0000149,2025-12-31,3.9,3
REV00000395,EMP0000150,2023-12-31,3.9,3
REV00000396,EMP0000150,2024-12-31,3.6,3
REV00000397,EMP0000150,2025-12-31,3.7,3
REV00000398,EMP0000151,2023-12-31,4.1,4
REV00000399,EMP0000151,2024-12-31,4.6,4
REV00000400,EMP0000151,2025-12-31,4.4,4
REV00000401,EMP0000152,2025-12-31,4.0,4
REV00000402,EMP0000153,2025-12-31,3.6,3
REV00000403,EMP0000154,2025-12-31,3.8,3
REV00000404,EMP0000155,2023-12-31,3.5,3
REV00000405,EMP0000155,2024-12-31,4.0,4
REV00000406,EMP0000155,2025-12-31,4.3,4
REV00000407,EMP0000156,2023-12-31,4.3,4
REV00000408,EMP0000156,2024-12-31,4.2,4
REV00000409,EMP0000156,2025-12-31,4.0,4
REV00000410,EMP0000157,2023-12-31,3.8,3
REV00000411,EMP0000157,2024-12-31,4.3,4
REV00000412,EMP0000157,2025-12-31,4.3,4
REV00000413,EMP0000158,2023-12-31,5.0,4
REV00000414,EMP0000158,2024-12-31,4.9,4
REV00000415,EMP0000158,2025-12-31,4.4,4
REV00000416,EMP0000159,2024-12-31,4.2,4
REV00000417,EMP0000159,2025-12-31,4.5,4
REV00000418,EMP0000160,2023-12-31,3.6,3
REV00000419,EMP0000160,2024-12-31,3.1,3
REV00000420,EMP0000160,2025-12-31,3.2,3
REV00000421,EMP0000161,2023-12-31,4.2,4
REV00000422,EMP0000161,2024-12-31,3.7,3
REV00000423,EMP0000161,2025-12-31,3.3,3
REV00000424,EMP0000162,2023-12-31,4.9,4
REV00000425,EMP0000162,2024-12-31,5.0,4
REV00000426,EMP0000162,2025-12-31,5.0,4
REV00000427,EMP0000163,2023-12-31,3.5,3
REV00000428,EMP0000163,2024-12-31,3.5,3
REV00000429,EMP0000163,2025-12-31,3.8,3
REV00000430,EMP0000164,2023-12-31,4.0,4
REV00000431,EMP0000164,2024-12-31,3.5,3
REV00000432,EMP0000164,2025-12-31,4.0,4
REV00000433,EMP0000165,2023-12-31,4.0,4
REV00000434,EMP0000165,2024-12-31,3.8,3
REV00000435,EMP0000165,2025-12-31,4.0,4
REV00000436,EMP0000166,2025-12-31,5.0,4
REV00000437,EMP0000167,2023-12-31,3.9,3
REV00000438,EMP0000167,2024-12-31,4.0,4
REV00000439,EMP0000167,2025-12-31,4.4,4
REV00000440,EMP0000168,2023-12-31,3.7,3
REV00000441,EMP0000168,2024-12-31,4.0,4
REV00000442,EMP0000168,2025-12-31,3.6,3
REV00000443,EMP0000169,2023-12-31,4.4,4
REV00000444,EMP0000169,2024-12-31,4.8,4
REV00000445,EMP0000169,2025-12-31,4.8,4
REV00000446,EMP0000170,2024-12-31,4.1,4
REV00000447,EMP0000170,2025-12-31,4.0,4
REV00000448,EMP0000171,2023-12-31,3.6,3
REV00000449,EMP0000171,2024-12-31,3.6,3
REV00000450,EMP0000171,2025-12-31,3.5,3
REV00000451,EMP0000172,2025-12-31,4.7,4
REV00000452,EMP0000173,2023-12-31,4.5,4
REV00000453,EMP0000173,2024-12-31,4.6,4
REV00000454,EMP0000173,2025-12-31,4.2,4
REV00000455,EMP0000174,2023-12-31,4.7,4
REV00000456,EMP0000174,2024-12-31,4.9,4
REV00000457,EMP0000174,2025-12-31,4.7,4
REV00000458,EMP0000175,2023-12-31,5.0,4
REV00000459,EMP0000175,2024-12-31,4.8,4
REV00000460,EMP0000175,2025-12-31,5.0,4
REV00000461,EMP0000176,2023-12-31,3.5,3
REV00000462,EMP0000176,2024-12-31,3.9,3
REV00000463,EMP0000176,2025-12-31,4.1,4
REV00000464,EMP0000177,2023-12-31,3.4,3
REV00000465,EMP0000177,2024-12-31,3.6,3
REV00000466,EMP0000177,2025-12-31,4.0,4
REV00000467,EMP0000178,2025-12-31,3.9,3
REV00000468,EMP0000179,2023-12-31,4.0,4
REV00000469,EMP0000179,2024-12-31,4.2,4
REV00000470,EMP0000179,2025-12-31,4.2,4
REV00000471,EMP0000180,2023-12-31,4.1,4
REV00000472,EMP0000180,2024-12-31,3.9,3
REV00000473,EMP0000180,2025-12-31,3.7,3
REV00000474,EMP0000181,2023-12-31,4.3,4
REV00000475,EMP0000181,2024-12-31,4.3,4
REV00000476,EMP0000181,2025-12-31,4.2,4
REV00000477,EMP0000182,2023-12-31,3.6,3
REV00000478,EMP0000182,2024-12-31,3.4,3
REV00000479,EMP0000182,2025-12-31,3.4,3
REV00000480,EMP0000183,2025-12-31,5.0,4
REV00000481,EMP0000184,2023-12-31,3.8,3
REV00000482,EMP0000184,2024-12-31,3.9,3
REV00000483,EMP0000184,2025-12-31,4.0,4
REV00000484,EMP0000185,2023-12-31,4.3,4
REV00000485,EMP0000185,2024-12-31,4.2,4
REV00000486,EMP0000185,2025-12-31,4.3,4
REV00000487,EMP0000186,2023-12-31,4.2,4
REV00000488,EMP0000186,2024-12-31,4.5,4
REV00000489,EMP0000186,2025-12-31,4.0,4
REV00000490,EMP0000187,2023-12-31,3.6,3
REV00000491,EMP0000187,2024-12-31,4.1,4
REV00000492,EMP0000187,2025-12-31,4.1,4
REV00000493,EMP0000188,2025-12-31,4.0,4
REV00000494,EMP0000189,2023-12-31,3.5,3
REV00000495,EMP0000189,2024-12-31,3.6,3
REV00000496,EMP0000189,2025-12-31,3.9,3
REV00000497,EMP0000190,2023-12-31,4.0,4
REV00000498,EMP0000190,2024-12-31,4.1,4
REV00000499,EMP0000190,2025-12-31,3.9,3
REV00000500,EMP0000191,2024-12-31,4.3,4
REV00000501,EMP0000191,2025-12-31,4.8,4
REV00000502,EMP0000192,2024-12-31,4.1,4
REV00000503,EMP0000192,2025-12-31,4.0,4
REV00000504,EMP0000193,2023-12-31,4.3,4
REV00000505,EMP0000193,2024-12-31,4.7,4
REV00000506,EMP0000193,2025-12-31,4.4,4
REV00000507,EMP0000194,2024-12-31,4.0,4
REV00000508,EMP0000194,2025-12-31,4.5,4
REV00000509,EMP0000195,2024-12-31,3.6,3
REV00000510,EMP0000195,2025-12-31,4.0,4
REV00000511,EMP0000196,2025-12-31,3.4,3
REV00000512,EMP0000197,2023-12-31,4.7,4
REV00000513,EMP0000197,2024-12-31,4.9,4
REV00000514,EMP0000197,2025-12-31,4.8,4
REV00000515,EMP0000198,2023-12-31,4.2,4
REV00000516,EMP0000198,2024-12-31,3.8,3
REV00000517,EMP0000198,2025-12-31,3.5,3
REV00000518,EMP0000199,2023-12-31,4.0,4
REV00000519,EMP0000199,2024-12-31,3.9,3
REV00000520,EMP0000199,2025-12-31,4.0,4
REV00000521,EMP0000200,2024-12-31,3.9,3
REV00000522,EMP0000200,2025-12-31,3.7,3
REV00000523,EMP0000201,2023-12-31,4.5,4
REV00000524,EMP0000201,2024-12-31,4.6,4
REV00000525,EMP0000201,2025-12-31,4.2,4
REV00000526,EMP0000202,2023-12-31,4.8,4
REV00000527,EMP0000202,2024-12-31,5.0,4
REV00000528,EMP0000202,2025-12-31,5.0,4
REV00000529,EMP0000203,2023-12-31,4.2,4
REV00000530,EMP0000203,2024-12-31,3.8,3
REV00000531,EMP0000203,2025-12-31,3.8,3
REV00000532,EMP0000204,2023-12-31,5.0,4
REV00000533,EMP0000204,2024-12-31,5.0,4
REV00000534,EMP0000204,2025-12-31,5.0,4
REV00000535,EMP0000205,2023-12-31,3.8,3
